Month,NAV,Correction
May-24,77.7696,0%
Jun-24,81.9385,5.36%
Jul-24,84.9013,3.62%
Aug-24,85.8868,1.16%
Sep-24,88.6165,3.18%
Oct-24,85.9814,-2.97%
Nov-24,86.7639,0.91%
Dec-24,87.673,1.05%
Jan-25,87.4349,-0.27%
Feb-25,83.4913,-4.51%
Mar-25,85.8001,2.77%
Apr-25,87.4119,1.88%
May-25,89.7841,2.71%
Jun-25,92.903,3.47%
Jul-25,92.1602,-0.80%
Aug-25,91.0737,-1.18%
,,
